record_id,unit_id,org_id,po_number,po_line,supplier,sku,asin,product_title,spec_colour,spec_variant,spec_components,cartons_ordered,cartons_received,units_per_carton_ordered,units_per_carton_counted,qty_ordered,qty_received,identity_match,carton_damage,unit_damage,quality_flags,photo_refs,operator_id,captured_at
RCV-0001,UNIT-0001,org_demo_alpha,PO-7000,2,Supplier East (DUMMY),SKU-TOWEL-BLU,B0DUMMY600,Cotton Bath Towel,blue,bath,towel,1,1,24,24,24,24,yes,none,none,,fixtures/receiving/UNIT-0001_pallet.jpg;fixtures/receiving/UNIT-0001_carton.jpg;fixtures/receiving/UNIT-0001_unit.jpg,op_eli,2026-06-04T17:32:00Z
RCV-0002,UNIT-0002,org_demo_alpha,PO-7000,3,Supplier Coastal (DUMMY),SKU-CANDLE-3,B0DUMMY964,Soy Candle Trio,cream,3-pack,candle x3;gift box,2,2,12,12,24,24,yes,none,none,,fixtures/receiving/UNIT-0002_pallet.jpg;fixtures/receiving/UNIT-0002_carton.jpg;fixtures/receiving/UNIT-0002_unit.jpg,op_eli,2026-06-03T13:25:00Z
RCV-0003,UNIT-0003,org_demo_bravo,PO-7000,4,Supplier Coastal (DUMMY),SKU-PUZZLE-500,B0DUMMY729,Jigsaw Puzzle 500pc,n/a,500pc,puzzle pieces;poster,4,4,12,11,48,44,yes,crushing,uncertain,,fixtures/receiving/UNIT-0003_pallet.jpg;fixtures/receiving/UNIT-0003_carton.jpg;fixtures/receiving/UNIT-0003_unit.jpg,op_dana,2026-06-04T02:54:00Z
RCV-0004,UNIT-0004,org_demo_alpha,PO-7001,1,Supplier East (DUMMY),SKU-PROT-1KG,B0DUMMY357,Whey Protein,n/a,1kg vanilla,tub;scoop,2,2,24,24,48,48,yes,none,none,missing_components,fixtures/receiving/UNIT-0004_pallet.jpg;fixtures/receiving/UNIT-0004_carton.jpg;fixtures/receiving/UNIT-0004_unit.jpg,op_amira,2026-06-05T04:58:00Z
RCV-0005,UNIT-0005,org_demo_alpha,PO-7001,2,Supplier Coastal (DUMMY),SKU-LEASH-6FT,B0DUMMY205,Nylon Dog Leash,red,6ft,leash,1,1,12,10,12,10,yes,tears,none,,fixtures/receiving/UNIT-0005_pallet.jpg;fixtures/receiving/UNIT-0005_carton.jpg;fixtures/receiving/UNIT-0005_unit.jpg,op_eli,2026-06-09T07:54:00Z
RCV-0006,UNIT-0006,org_demo_bravo,PO-7001,3,Supplier North (DUMMY),SKU-CABLE-USBC,B0DUMMY261,USB-C Cable,white,2m,cable,2,2,24,24,48,48,yes,crushing,none,,fixtures/receiving/UNIT-0006_pallet.jpg;fixtures/receiving/UNIT-0006_carton.jpg;fixtures/receiving/UNIT-0006_unit.jpg,op_chen,2026-06-08T11:10:00Z
RCV-0007,UNIT-0007,org_demo_alpha,PO-7001,4,Supplier North (DUMMY),SKU-CABLE-USBC,B0DUMMY261,USB-C Cable,white,2m,cable,4,4,6,6,24,24,no,none,none,wrong_colour,fixtures/receiving/UNIT-0007_pallet.jpg;fixtures/receiving/UNIT-0007_carton.jpg;fixtures/receiving/UNIT-0007_unit.jpg,op_dana,2026-06-07T23:21:00Z
RCV-0008,UNIT-0008,org_demo_alpha,PO-7002,1,Supplier North (DUMMY),SKU-BOTTLE-750,B0DUMMY622,Steel Water Bottle,black,750ml,bottle;lid,2,2,12,12,24,24,yes,none,none,,fixtures/receiving/UNIT-0008_pallet.jpg;fixtures/receiving/UNIT-0008_carton.jpg;fixtures/receiving/UNIT-0008_unit.jpg,op_amira,2026-06-06T06:31:00Z
RCV-0009,UNIT-0009,org_demo_bravo,PO-7002,2,Supplier North (DUMMY),SKU-PUZZLE-500,B0DUMMY729,Jigsaw Puzzle 500pc,n/a,500pc,puzzle pieces;poster,2,2,24,24,48,48,yes,crushing,none,,fixtures/receiving/UNIT-0009_pallet.jpg;fixtures/receiving/UNIT-0009_carton.jpg;fixtures/receiving/UNIT-0009_unit.jpg,op_fatima,2026-06-09T08:36:00Z
RCV-0010,UNIT-0010,org_demo_alpha,PO-7002,3,Supplier East (DUMMY),SKU-LAMP-LED,B0DUMMY357,LED Desk Lamp,grey,standard,lamp;usb cable;manual,1,1,24,24,24,24,yes,none,none,,fixtures/receiving/UNIT-0010_pallet.jpg;fixtures/receiving/UNIT-0010_carton.jpg;fixtures/receiving/UNIT-0010_unit.jpg,op_chen,2026-06-01T17:59:00Z
